Year,Month,Country,Value_NIS,Quantity_TON
2021,1,אחר,4006274.0,867.0
2021,1,איטליה,8751161.0,1827.0
2021,1,ארצות הברית,6842703.0,1006.0
2021,1,יוון,571306.0,155.0
2021,1,צרפת,2417822.0,321.0
2021,2,אחר,2182405.0,507.0
2021,2,איטליה,8477921.0,1775.0
2021,2,ארצות הברית,2409051.0,384.0
2021,2,יוון,246564.0,67.0
2021,2,צרפת,2965386.0,405.0
2021,3,אחר,2867780.0,669.0
2021,3,איטליה,10603041.0,2242.0
2021,3,ארצות הברית,6577396.0,967.0
2021,3,יוון,577464.0,157.0
2021,3,צרפת,4541910.0,624.0
2021,4,אחר,2735736.0,551.0
2021,4,איטליה,8157990.0,1774.0
2021,4,ארצות הברית,7246406.0,1055.0
2021,4,יוון,485094.0,134.0
2021,4,צרפת,2194197.0,276.0
2021,5,אחר,3520367.0,744.0
2021,5,איטליה,12421049.0,2643.0
2021,5,ארצות הברית,4249863.0,610.0
2021,5,יוון,434786.0,112.0
2021,5,צרפת,1870527.0,236.0
2021,6,אחר,4023479.0,782.0
2021,6,איטליה,6684187.0,1445.0
2021,6,ארצות הברית,5444559.0,802.0
2021,6,יוון,1155429.0,290.0
2021,6,צרפת,768212.0,125.0
2021,7,אחר,5153006.0,1160.0
2021,7,איטליה,4459488.0,996.0
2021,7,ארצות הברית,6576700.0,1034.0
2021,7,יוון,618939.0,154.0
2021,7,צרפת,115658.0,22.0
2021,8,אחר,3040255.0,587.0
2021,8,איטליה,3212987.0,725.0
2021,8,ארצות הברית,7660851.0,1094.0
2021,8,יוון,89267.0,22.0
2021,9,אחר,2477194.0,507.0
2021,9,איטליה,3171779.0,661.0
2021,9,ארצות הברית,1760969.0,263.0
2021,9,יוון,165319.0,45.0
2021,9,צרפת,1214164.0,267.0
2021,10,אחר,2114372.0,377.0
2021,10,איטליה,4504250.0,988.0
2021,10,ארצות הברית,6164442.0,849.0
2021,10,יוון,265800.0,65.0
2021,10,צרפת,239360.0,44.0
2021,11,אחר,2948485.0,670.0
2021,11,איטליה,11864462.0,2819.0
2021,11,ארצות הברית,1366205.0,186.0
2021,11,יוון,227872.0,56.0
2021,11,צרפת,889559.0,150.0
2021,12,אחר,1650456.0,478.0
2021,12,איטליה,11457500.0,2623.0
2021,12,ארצות הברית,1851312.0,303.0
2021,12,יוון,312382.0,85.0
2021,12,צרפת,4028123.0,636.0
2022,1,אחר,2471879.0,553.0
2022,1,איטליה,9594040.0,2095.0
2022,1,ארצות הברית,4093148.0,575.0
2022,1,יוון,444491.0,126.0
2022,1,צרפת,2382691.0,381.0
2022,2,אחר,2153803.0,468.0
2022,2,איטליה,9015654.0,1959.0
2022,2,ארצות הברית,3647139.0,434.0
2022,2,יוון,575958.0,154.0
2022,2,צרפת,2872651.0,394.0
2022,3,אחר,1505447.0,325.0
2022,3,איטליה,13967853.0,3266.0
2022,3,ארצות הברית,7555044.0,992.0
2022,3,יוון,423274.0,113.0
2022,3,צרפת,5015179.0,728.0
2022,4,אחר,1905601.0,398.0
2022,4,איטליה,10742816.0,2609.0
2022,4,ארצות הברית,7343024.0,892.0
2022,4,יוון,683756.0,183.0
2022,4,צרפת,3227948.0,456.0
2022,5,אחר,3839824.0,719.0
2022,5,איטליה,10507847.0,2698.0
2022,5,ארצות הברית,8564895.0,984.0
2022,5,יוון,1195279.0,316.0
2022,5,צרפת,1765663.0,251.0
2022,6,אחר,5595485.0,1041.0
2022,6,איטליה,11297179.0,3067.0
2022,6,ארצות הברית,7595768.0,882.0
2022,6,יוון,1141999.0,289.0
2022,6,צרפת,337483.0,67.0
2022,7,אחר,4894030.0,848.0
2022,7,איטליה,7042413.0,1960.0
2022,7,ארצות הברית,6715914.0,745.0
2022,7,יוון,812364.0,210.0
2022,7,צרפת,194353.0,44.0
2022,8,אחר,3046283.0,515.0
2022,8,איטליה,3056665.0,908.0
2022,8,ארצות הברית,8428010.0,1039.0
2022,8,יוון,439441.0,116.0
2022,8,צרפת,493129.0,133.0
2022,9,אחר,4289938.0,836.0
2022,9,איטליה,3226095.0,794.0
2022,9,ארצות הברית,3205958.0,389.0
2022,9,יוון,423775.0,114.0
2022,9,צרפת,753585.0,192.0
2022,10,אחר,2753027.0,495.0
2022,10,איטליה,4912492.0,1146.0
2022,10,ארצות הברית,3969916.0,471.0
2022,10,יוון,583580.0,171.0
2022,10,צרפת,260689.0,44.0
2022,11,אחר,2272159.0,385.0
2022,11,איטליה,8378370.0,1822.0
2022,11,ארצות הברית,1119508.0,127.0
2022,11,יוון,982028.0,279.0
2022,11,צרפת,565498.0,111.0
2022,12,אחר,810823.0,201.0
2022,12,איטליה,11949611.0,2436.0
2022,12,ארצות הברית,886648.0,130.0
2022,12,יוון,1081684.0,298.0
2022,12,צרפת,2104522.0,302.0
2023,1,אחר,2421113.0,520.0
2023,1,איטליה,13038949.0,2655.0
2023,1,ארצות הברית,4118754.0,518.0
2023,1,יוון,1037023.0,291.0
2023,1,צרפת,2700928.0,428.0
2023,2,אחר,1900436.0,442.0
2023,2,איטליה,12718944.0,2599.0
2023,2,ארצות הברית,7871915.0,877.0
2023,2,יוון,1294358.0,333.0
2023,2,צרפת,2456215.0,374.0
2023,3,אחר,3485723.0,765.0
2023,3,איטליה,13602569.0,2781.0
2023,3,ארצות הברית,5928868.0,647.0
2023,3,יוון,1062235.0,270.0
2023,3,צרפת,3086705.0,392.0
2023,4,אחר,1266779.0,250.0
2023,4,איטליה,10804085.0,2078.0
2023,4,ארצות הברית,8620857.0,986.0
2023,4,יוון,629013.0,148.0
2023,4,צרפת,2121091.0,270.0
2023,5,אחר,2663868.0,550.0
2023,5,איטליה,10266432.0,2024.0
2023,5,ארצות הברית,11024064.0,1211.0
2023,5,יוון,489430.0,106.0
