Year,Month,price,Category
2021,1,10.14328681,Apples
2021,2,10.3710688,Apples
2021,3,10.44302464,Apples
2021,4,10.86046679,Apples
2021,5,11.09802984,Apples
2021,6,11.25246139,Apples
2021,7,11.28022452,Apples
2021,8,11.21208015,Apples
2021,9,10.92813662,Apples
2021,10,10.69870341,Apples
2021,11,10.63438465,Apples
2021,12,10.49165213,Apples
2022,1,10.6426598,Apples
2022,2,10.58775278,Apples
2022,3,10.70102294,Apples
2022,4,11.10424988,Apples
2022,5,11.23811604,Apples
2022,6,11.41232118,Apples
2022,7,11.42427302,Apples
2022,8,11.10632257,Apples
2022,9,10.63931398,Apples
2022,10,10.75513356,Apples
2022,11,10.65182697,Apples
2022,12,10.54651303,Apples
2023,1,10.5666689,Apples
2023,2,10.62947497,Apples
2023,3,10.75873733,Apples
2023,4,10.99300555,Apples
2023,5,11.04582105,Apples
2023,6,11.22086466,Apples
2023,7,11.35908505,Apples
2023,8,11.3446275,Apples
2023,9,10.67980042,Apples
2023,10,11.18485906,Apples
2023,11,11.39716867,Apples
2023,12,11.63755883,Apples
2024,1,12.01142463,Apples
2024,2,12.30232193,Apples
2024,3,12.28784579,Apples
2024,4,12.34223141,Apples
2024,5,12.36751999,Apples
2024,6,12.13841002,Apples
2024,7,11.90104118,Apples
2024,8,11.97501104,Apples
2024,9,11.3746566,Apples
2024,10,11.78711494,Apples
2024,11,11.9597042,Apples
2024,12,11.9751018,Apples
2025,1,11.80464134,Apples
2025,2,11.80338698,Apples
2025,3,11.55749256,Apples
2025,4,11.80749408,Apples
2025,5,12.23375177,Apples
2025,6,12.35877779,Apples
2025,7,12.22165576,Apples
2025,8,12.15936234,Apples
2025,9,11.9428065,Apples
2025,10,12.32155906,Apples
2025,11,12.39053485,Apples
2025,12,12.19934151,Apples
